age,income,employment_status,credit_score,loan_amount,loan_term,existing_debts,payment_history,missed_emis,loan_approved,interest_rate
42,46432.0,2,850,12811.65,48,20904.72,69,1,1,10.97
36,45613.16,1,695,26042.46,84,4909.23,80,1,1,12.72
44,20386.21,0,599,14192.85,48,6672.36,82,0,0,13.99
53,49116.28,1,677,12190.25,36,1509.03,49,1,0,12.81
35,92938.89,3,792,12784.98,36,2341.43,40,1,1,9.76
35,27874.31,0,796,32947.25,48,12563.44,64,0,0,12.9
53,112318.02,2,603,20385.93,48,22164.22,79,1,1,12.06
45,80230.97,3,670,15634.93,60,16073.13,78,2,1,11.37
33,38540.31,2,535,27149.76,36,15534.51,98,0,0,14.47
43,54999.66,3,715,15809.83,60,7594.91,63,2,1,11.3
33,156215.71,3,774,54242.19,60,5395.35,36,2,1,11.55
33,92978.98,2,653,10106.23,60,10817.23,91,0,1,9.97
40,60190.52,3,596,18966.37,48,18423.98,73,1,1,12.76
18,51916.4,3,678,7159.45,120,8142.58,75,2,1,11.88
20,62690.52,2,683,16688.92,36,27180.42,83,1,0,12.37
32,44043.89,2,656,5746.19,24,6535.02,92,1,1,11.9
27,16935.21,3,664,40016.74,60,3040.33,69,0,0,11.26
41,203884.05,3,636,40668.25,36,8019.55,91,0,1,9.44
28,65722.39,3,729,41247.1,60,9008.94,79,1,1,10.3
23,76030.39,1,708,22541.15,36,7464.92,58,1,1,13.33
52,57829.56,3,571,10895.48,12,29162.99,65,0,0,13.43
35,38519.89,3,569,11611.22,36,18129.61,81,0,1,11.86
38,53553.98,3,629,74917.11,36,1937.32,57,3,1,15.0
23,22933.71,3,708,69462.46,24,37585.25,85,0,0,13.23
32,234744.25,3,661,24295.44,36,522.48,72,0,1,10.57
39,28546.59,3,598,14581.27,60,69635.12,76,0,0,15.34
26,32235.39,3,670,65834.46,60,6079.6,95,0,1,10.3
41,45974.61,3,623,12637.17,60,6703.82,76,1,1,12.66
31,129682.63,1,720,26451.8,60,7631.07,71,2,1,12.02
35,60397.65,3,676,64962.53,36,11910.85,68,0,1,11.65
31,28518.79,3,624,11281.61,72,8100.95,67,0,1,12.15
56,127083.93,1,668,42760.88,48,7091.16,75,1,0,11.54
37,92836.98,3,755,33404.59,48,29998.97,94,0,1,9.12
27,82707.12,2,604,21341.03,60,14265.45,58,0,0,12.68
46,91990.5,3,682,9949.26,36,3106.33,57,1,1,10.46
25,250000.0,3,644,12338.11,60,16994.99,93,0,1,9.17
40,222138.63,1,684,27765.81,36,13685.7,59,1,0,13.04
18,39654.94,3,597,7053.86,24,4697.22,73,1,0,11.88
24,158630.2,1,658,24455.13,24,17892.53,59,2,0,12.95
39,75350.13,3,738,33956.68,36,6921.77,39,0,1,11.29
45,80777.8,3,575,48444.6,72,6492.0,73,1,1,13.28
39,21690.67,2,543,7196.24,120,6317.55,90,0,0,12.9
36,54055.61,1,546,63132.93,36,714.71,68,1,0,14.43
34,36765.16,1,556,85501.64,36,4785.28,43,1,0,14.85
23,98403.86,3,697,30580.6,36,16533.99,71,1,1,10.42
30,113851.28,3,537,9600.41,60,7923.5,56,4,1,15.68
33,17245.53,1,626,16941.35,36,2241.31,22,1,0,16.75
48,59087.76,1,699,21203.51,84,21261.03,68,1,0,12.55
41,117373.55,0,683,27347.24,60,6011.32,79,1,0,12.23
20,53529.74,3,619,22417.23,72,2388.51,91,1,1,11.5
41,92729.15,3,665,27582.37,48,73571.46,100,0,1,11.43
34,73917.09,0,658,20484.07,60,2826.59,81,0,0,12.64
