age,income,employment_status,credit_score,loan_amount,loan_term,existing_debts,payment_history,missed_emis,loan_approved,interest_rate
40,30544.79,3,587,18383.59,36,37011.84,32,2,0,18.29
45,169091.13,3,722,53881.13,36,24366.41,44,1,0,11.94
18,96128.88,3,676,9939.04,60,3733.37,60,2,1,11.33
30,118499.74,3,784,11830.15,36,6636.24,88,0,1,8.03
31,163713.46,3,593,15804.27,24,6333.24,63,3,1,14.33
27,35933.13,3,745,8696.55,60,11469.98,61,3,1,11.24
32,58107.72,3,555,7280.37,36,1773.25,72,0,1,11.41
19,73351.22,1,746,29225.92,24,2684.97,77,0,0,10.39
40,34676.08,2,640,2906.58,36,13000.83,71,1,0,12.07
47,28142.64,1,683,41116.76,60,7077.91,70,1,0,13.74
44,119235.35,2,483,12402.61,48,15105.63,68,3,0,15.4
27,128254.0,3,661,74126.2,48,15194.64,66,3,1,12.96
39,62989.05,2,558,29469.56,36,2120.58,76,0,1,13.24
51,33931.72,2,707,26222.33,48,24948.84,80,0,0,12.75
32,151074.49,3,696,42110.03,36,9725.56,78,1,0,10.96
39,30560.45,0,584,10359.96,60,2401.08,84,0,0,14.65
27,67180.19,3,740,16087.41,12,3596.75,80,1,1,9.47
44,46498.99,0,497,24505.1,24,2290.3,83,0,0,15.58
47,52621.61,3,766,5024.49,72,2406.1,92,0,1,8.22
56,163302.49,2,688,18074.4,36,13187.52,61,1,1,11.47
51,49794.12,1,817,14308.6,60,30243.06,69,0,0,10.63
55,53327.7,3,574,49127.77,36,5681.48,65,0,1,12.36
44,52410.75,3,661,93273.87,120,1152.06,77,1,1,11.6
43,29668.22,2,623,26505.97,24,5071.97,55,3,0,14.74
45,25811.58,3,703,19427.49,60,5415.21,62,3,0,13.55
54,40993.08,3,627,24933.75,48,7334.99,63,2,0,12.61
22,77777.19,3,605,15634.84,36,18441.54,75,0,1,10.76
18,141563.86,3,521,13869.8,24,7659.36,86,1,1,11.97
52,88866.08,2,675,45386.71,36,16989.0,79,0,1,12.46
51,78478.31,3,760,47148.91,36,6765.06,42,5,1,13.83
43,95723.24,2,661,20323.21,72,1758.05,33,7,0,16.57
54,187070.53,3,576,10190.39,36,16128.35,87,0,1,10.67
32,18435.37,2,667,34498.62,12,21658.22,67,3,0,16.78
36,45613.16,1,695,26042.46,84,4909.23,80,1,1,12.72
18,69872.25,3,655,41649.64,24,5419.5,77,0,1,10.97
26,50829.9,3,741,9536.86,48,1319.8,84,1,1,8.96
38,67811.92,2,493,9662.95,72,7343.77,96,0,1,13.79
43,33209.97,0,616,57108.53,36,7561.43,71,0,0,14.64
38,45696.6,2,503,17486.54,24,24393.77,83,1,0,14.86
46,79249.1,0,646,80160.28,24,1759.81,85,0,0,12.18
41,59167.25,3,810,23061.05,36,2974.59,68,2,1,9.31
28,48288.94,1,650,9324.51,60,11589.61,93,0,1,11.57
42,58052.0,3,760,9336.51,12,9564.55,61,0,1,8.58
43,86224.03,3,733,67565.68,36,24661.9,42,6,0,16.0
38,201451.61,0,646,27819.4,72,5588.46,80,0,1,11.67
27,61939.07,3,702,12305.39,24,2063.53,63,2,1,11.45
47,84846.56,3,681,11528.52,60,24744.57,45,3,1,13.13
39,90415.77,3,714,10500.21,60,6416.7,69,1,1,10.24
49,44766.84,3,602,20574.46,60,5134.22,70,1,1,12.38
44,48438.08,3,543,11759.85,24,2405.4,73,2,1,12.49
41,37335.34,1,707,14144.52,48,16000.55,69,1,0,13.82
18,44873.88,3,822,100000.0,36,6727.92,87,0,1,9.49
40,38160.94,2,666,100000.0,48,78886.87,33,2,0,18.29
31,74205.74,1,612,14801.45,24,10715.08,70,1,0,13.03
19,32119.07,1,663,46699.58,48,17068.0,68,1,0,14.54
37,92475.09,2,750,23027.19,36,8100.16,68,4,1,11.92
60,40986.95,1,690,21013.89,48,20787.38,100,0,1,12.26
40,61120.34,2,558,27880.26,72,7282.43,53,0,0,13.96
36,70913.81,2,584,36720.67,36,5562.14,93,1,1,12.14
31,39709.1,3,673,17977.55,24,1563.25,87,2,1,9.99
43,23971.06,3,672,20837.99,72,6443.63,71,0,1,11.47
41,96677.89,2,725,9395.5,48,4771.37,100,0,1,8.55
33,38540.31,2,535,27149.76,36,15534.51,98,0,0,14.47
35,45303.5,1,724,12759.42,84,2989.46,69,4,1,13.45
64,41296.22,2,710,25851.43,72,5722.69,56,0,0,12.5
49,25677.38,1,689,20710.69,60,13433.67,60,2,0,15.35
27,76916.76,3,786,29075.55,48,18641.98,64,0,1,9.84
52,110522.43,1,559,5876.8,24,40286.41,86,1,0,14.53
43,68208.52,1,630,20257.39,60,11534.43,69,1,0,13.81
47,61026.02,2,613,50435.57,36,10406.53,76,2,0,14.93
43,44197.36,3,622,100000.0,84,3808.55,81,0,1,12.47
34,188643.24,3,692,6022.34,24,4213.71,63,1,1,9.84
46,181287.16,3,652,100000.0,36,7971.0,100,0,1,9.87
28,47142.62,3,539,15385.91,48,55489.84,73,0,0,15.6
41,44426.32,3,634,6545.37,36,28514.93,47,6,0,17.14
28,89116.93,3,621,85518.49,84,3509.25,89,0,1,11.36
43,17882.22,2,706,40285.83,60,6807.85,77,1,0,12.54
39,54120.54,3,558,7954.32,60,8724.87,53,2,0,12.65
44,107570.74,0,517,13852.1,36,24601.93,36,4,0,18.05
47,18857.38,0,628,16524.13,24,1832.2,50,2,0,15.44
34,103421.34,3,717,9470.05,48,10075.86,73,1,1,10.62
20,101153.44,0,559,100000.0,48,9601.4,66,2,0,16.15
54,35960.18,3,585,10653.1,36,8878.96,32,5,0,16.24
23,112874.85,3,762,100000.0,36,9799.99,87,1,1,10.3
28,23171.22,3,677,31481.57,84,2003.22,83,0,1,11.19
56,61049.34,3,653,6067.13,48,26598.73,92,0,1,10.89
18,65254.87,0,698,59949.84,36,8246.61,58,3,0,15.21
43,104314.86,0,625,8476.26,12,7790.84,72,2,0,13.18
31,71591.08,3,628,26428.63,12,7536.05,52,2,1,13.39
39,28580.38,3,678,24013.8,120,4021.67,70,0,0,10.9
41,34888.2,3,599,33382.49,60,5429.24,74,0,1,13.58
56,62526.84,1,529,53894.06,60,12290.62,93,1,0,13.92
56,123490.74,3,555,52384.47,60,2696.76,83,1,1,12.75
51,58246.7,1,477,48845.37,60,5670.55,78,1,0,15.46
26,76530.07,3,716,85966.92,48,42223.63,67,2,0,12.87
48,48174.81,3,666,20978.4,12,1502.38,69,2,1,11.58
27,25740.84,3,560,18068.24,60,3985.23,69,0,1,13.56
26,95684.81,3,704,10001.24,72,7745.8,77,4,1,11.39
37,28923.39,0,671,48027.04,24,22436.76,33,1,0,18.84
30,113851.28,3,537,9600.41,60,7923.5,56,4,1,15.68
18,102389.52,3,743,32764.24,84,70015.66,99,0,1,10.42
36,37664.55,3,591,25603.38,36,18128.33,72,3,0,14.75
42,130662.8,3,635,16089.96,60,30357.73,69,2,1,12.18
27,65213.82,3,710,7675.21,36,36624.52,78,0,1,11.3
